1	25	1
1	26	1
1	46	1
1	112	2
1	200	2
1	224	2
1	249	2
2	15	1
2	16	1
2	235	1
2	256	1
2	259	1
2	300	1
2	312	1
2	326	1
2	387	1
3	32	1
3	73	1
3	103	1
3	107	1
3	129	1
3	232	1
3	243	1
3	272	1
3	332	1
4	9	1
4	79	1
4	91	1
4	120	1
4	162	1
4	273	1
4	311	1
4	318	1
4	396	1
5	57	1
5	60	1
5	85	1
5	114	1
5	128	1
5	215	1
5	220	1
5	238	1
5	245	1
6	11	1
6	72	1
6	151	1
6	152	1
6	153	1
7	56	1
7	172	1
7	175	1
8	12	1
8	22	1
8	164	1
8	292	1
8	307	1
8	313	1
9	79	1
9	91	1
9	120	1
9	162	1
9	273	1
9	311	1
9	318	1
9	396	1
10	62	1
10	63	1
10	143	1
10	184	1
10	199	1
10	221	1
10	286	1
10	306	1
11	72	1
11	151	1
11	152	1
11	153	1
12	14	1
12	22	1
12	50	1
12	164	1
12	218	1
12	292	1
12	307	1
12	313	1
12	323	1
12	358	1
13	96	1
13	131	1
13	226	1
13	242	1
13	244	1
14	50	1
14	218	1
14	323	1
14	358	1
15	16	1
15	235	1
15	256	1
15	259	1
15	300	1
15	312	1
15	326	1
15	387	1
16	235	1
16	256	1
16	259	1
16	300	1
16	312	1
16	326	1
16	387	1
17	55	1
17	315	1
17	319	1
17	329	1
17	397	1
18	36	1
18	51	1
18	52	1
18	109	1
18	127	2
18	336	2
19	100	1
19	110	1
19	270	1
19	282	1
19	301	1
19	305	1
20	37	1
20	42	1
20	45	1
20	80	1
20	81	1
20	169	1
21	102	1
21	220	1
21	227	1
21	257	1
21	303	1
21	304	1
22	164	1
22	292	1
22	307	1
22	313	1
23	42	1
23	45	1
23	77	1
23	80	1
23	81	1
23	82	1
23	169	1
23	191	1
23	240	1
24	44	1
24	118	3
24	213	3
24	230	1
24	239	3
24	254	2
24	285	3
25	26	1
25	112	1
25	200	1
25	224	1
25	249	1
26	112	1
26	200	1
26	224	1
26	249	1
27	125	1
27	154	1
27	186	1
27	192	1
27	234	1
28	165	1
28	263	1
28	266	1
28	330	1
29	34	1
29	94	1
29	106	1
29	123	1
29	166	1
29	168	1
29	177	1
29	180	1
29	185	1
29	250	1
29	284	1
30	49	1
30	89	2
30	90	2
30	124	2
30	216	2
30	251	2
31	42	1
31	43	1
31	45	1
31	77	1
31	80	1
31	81	1
31	82	1
31	98	1
31	169	1
31	188	1
31	191	1
31	374	1
32	73	1
32	103	1
32	107	1
32	129	1
32	232	1
32	243	1
32	272	1
32	332	1
33	65	1
33	66	1
33	70	1
33	104	1
33	136	1
33	137	1
33	196	1
33	241	1
33	360	1
33	365	1
33	388	1
34	94	1
34	106	1
34	123	1
34	166	1
34	168	1
34	177	1
34	180	1
34	185	1
34	250	1
34	284	1
35	50	1
35	150	1
35	313	1
36	51	1
36	52	1
36	109	1
36	127	1
36	336	1
37	42	1
37	45	1
37	80	1
37	81	1
37	169	1
38	93	1
38	253	1
38	268	1
38	275	1
38	278	1
38	294	1
38	321	1
38	377	1
39	134	1
39	148	1
39	287	1
39	328	1
39	334	1
39	337	1
39	338	1
40	189	1
40	274	1
40	279	1
41	179	1
41	181	1
41	283	1
41	290	1
41	322	1
41	325	1
41	395	1
42	43	1
42	45	3
42	77	2
42	80	3
42	81	3
42	82	2
42	98	1
42	169	3
42	188	1
42	191	2
42	240	1
42	374	1
43	45	1
43	77	1
43	80	1
43	81	1
43	82	1
43	98	1
43	169	1
43	188	1
43	191	1
43	374	1
44	118	1
44	213	1
44	239	1
44	254	1
44	285	1
45	59	1
45	76	1
45	77	4
45	80	3
45	81	3
45	82	2
45	86	1
45	98	1
45	99	1
45	169	3
45	188	1
45	190	1
