id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	score<Avg. pub. year>
195	"levin, edward d."	-0.5155	-0.7709	14	8	13	2	2018
196	"li, dan"	-0.9553	0.1058	8	11	11	1	2021
197	"li, lingli"	-0.934	-0.3581	20	5	5	1	2019
198	"li, xiaokang"	1.0168	-0.2598	24	7	7	1	2021
199	"liang, sung-tzu"	0.2991	-0.4	16	8	8	1	2020
200	"limonta, giacomo"	-0.3765	0.9623	21	7	11	2	2020
201	"ling, xin"	-0.385	0.1487	30	6	6	1	2021
202	"linse, sara"	0.9183	0.3876	19	8	14	3	2014.6667
203	"liu, guangxu"	-0.1874	0.2777	28	6	6	1	2021
204	"liu, haiyan"	-0.9456	-0.3248	20	5	5	1	2019
205	"liu, han-peng"	0.5524	-0.5813	22	7	7	1	2018
206	"liu, jianchao"	-0.3533	0.1626	30	6	6	1	2021
207	"liu, shujiao"	-0.1896	-0.3571	15	8	14	2	2020.5
208	"liu, ying"	0.5135	-0.5864	22	7	7	1	2018
209	"liu, yinghan"	0.8317	0.146	34	5	5	1	2019
210	"liu, yu"	-0.6866	-0.4681	3	8	8	1	2020
211	"liu, yuxuan"	-0.4171	0.1337	30	6	6	1	2021
212	"lu, guanghua"	-0.3825	0.183	30	6	6	1	2021
213	"luzio, ana"	-0.3283	-0.146	25	7	16	3	2020.6667
214	"luís, luís g."	-0.5423	0.6546	6	4	4	1	2015
215	"machado, monica rodrigues ferreira"	-0.0468	0.5412	2	9	9	1	2021
216	"magni, stefano"	-0.0257	-0.5057	27	6	11	2	2020
217	"magnuson, jason t."	0.1677	1.0886	40	4	4	1	2020
218	"magnér, jörgen"	-0.6815	0.3988	5	5	5	1	2020
219	"mak, chu wa"	-0.9635	0.5075	43	2	2	1	2019
220	"malafaia, guilherme"	-0.1498	0.6206	2	19	28	5	2020.8
221	"malhotra, nemi"	0.2658	-0.3867	16	8	8	1	2020
222	"malmendal, anders"	0.9988	0.3836	19	6	10	2	2016
223	"man, mingsan"	0.6168	0.7609	33	5	5	1	2020
224	"mancia, annalaura"	-0.4082	0.9381	21	7	11	2	2020
225	"manica, andrea"	0.5299	-0.247	4	5	5	1	2021
226	"mariani, patrizio"	0.2069	-1.0527	31	5	5	1	2018
227	"marinho da luz, thiarlen"	-0.2565	0.6308	2	6	6	1	2021
228	"martins, roberto"	0.2268	-0.7173	10	10	10	1	2021
229	"massarsky, andrey"	-0.4961	-0.8055	14	8	13	2	2018
230	"matos, carlos"	-0.346	-0.0625	25	5	5	1	2021
231	"mattsson, karin"	0.9685	0.4002	19	6	10	2	2016
232	"mccormick, mark i."	0.4302	-0.0733	4	9	9	1	2020
233	"mennigen, jan alexander"	-0.6212	-0.4227	3	8	8	1	2020
234	"metian, marc"	0.7071	-0.3959	36	5	5	1	2019
235	"meyer, danielle n."	0.3761	0.6715	12	9	9	1	2020
236	"mi, kaihang"	0.1073	0.8728	37	5	5	1	2020
237	"miranda, tiago"	-0.6895	0.6219	6	2	2	1	2019
238	"montalvão, mateus flores"	-0.0674	0.5823	2	9	9	1	2021
239	"monteiro, sandra m."	-0.3689	-0.1304	25	7	16	3	2020.6667
240	"morin, bénédicte"	0.1567	0.3123	1	16	22	3	2019.6667
241	"mu, jingli"	-1.0142	0.0774	8	11	11	1	2021
242	"munk, peter"	0.1773	-1.0457	31	5	5	1	2018
243	"nanninga, gerrit b."	0.4738	-0.1976	4	14	14	2	2020.5
244	"nielsen, torkel gissel"	0.1914	-1.0793	31	5	5	1	2018
245	"nobrega, rafael henrique"	-0.042	0.6252	2	9	9	1	2021
246	"odo, gregory e."	0.858	-0.6376	26	1	1	1	2020
247	"oliveira, miguel"	-0.5686	0.6341	6	4	4	1	2015
248	"pannetier, pauline"	0.1512	0.3668	1	10	13	2	2019.5
249	"panti, cristina"	-0.3769	0.9136	21	7	11	2	2020
250	"papaefthimiou, chrisovalantis"	-0.6992	-0.0424	7	11	11	1	2021
251	"parenti, camilla carla"	0.0041	-0.5334	27	6	11	2	2020
252	"park, june-woo"	1.0475	0.0255	39	4	4	1	2018
253	"parnis, j. mark"	-0.1914	-0.7147	17	8	8	1	2017
254	"parra, susana"	-0.3634	-0.1782	25	6	11	2	2020.5
255	"patrício silva, ana l."	0.1347	-0.7571	10	10	10	1	2021
256	"pedersen, adam f."	0.3414	0.6626	12	9	9	1	2020
257	"pereira, paulo sérgio"	-0.2121	0.6638	2	9	12	2	2021
258	"pertzelan, assaf"	0.478	-0.2704	4	5	5	1	2021
259	"petriv, anna-maria v."	0.3164	0.6449	12	9	9	1	2020
260	"pitt, jordan a."	-0.5508	-0.7999	14	8	13	2	2018
261	"plakolm, isolde"	0.4987	-0.2478	4	5	5	1	2021
262	"pousão-ferreira, pedro"	0.1531	-0.797	10	10	10	1	2021
263	"priyadarshinee, sheela"	-0.095	1.0498	38	4	4	1	2021
264	"qiang, liyuan"	-0.421	-1.0499	45	1	2	2	2020
265	"qu, keming"	-0.987	-0.2513	20	4	4	1	2018
266	"ramesh, mathan"	-0.09	1.0232	38	4	4	1	2021
267	"razanajatovo, roger mamitiana"	-0.1283	-0.2698	15	4	4	1	2018
268	"reiner, eric j."	-0.2615	-0.7218	17	8	8	1	2017
269	"reitter, katharina"	0.6123	0.4703	9	8	8	1	2020
270	"renukdas, nilima"	0.5241	-0.8556	29	6	6	1	2020
271	"rezbach, felizitas"	0.5933	0.5062	9	8	8	1	2020
272	"richardson, celia"	0.416	-0.1624	4	9	9	1	2020
273	"rios-fuster, beatriz"	-0.0989	0.0622	13	9	9	1	2021
274	"risso, wagner ezequiel"	-0.8716	-0.6563	41	3	3	1	2020
275	"robson, matthew"	-0.2323	-0.676	17	8	8	1	2017
276	"rocha, rui j. m."	0.208	-0.7648	10	10	10	1	2021
277	"rocha, thiago lopes"	-0.144	0.7435	2	5	5	1	2021
278	"rochman, chelsea m."	-0.2253	-0.7387	17	8	8	1	2017
279	"roda, jéssica fernanda bernardes"	-0.8807	-0.632	41	3	3	1	2020
280	"rodrigues, aline sueli de lima"	-0.1438	0.6924	2	8	11	2	2021
281	"rodrigues, andreia c. m."	0.152	-0.721	10	10	10	1	2021
282	"romano, nicholas"	0.4918	-0.8676	29	6	6	1	2020
283	"ruhl, aki s."	0.6122	0.4073	9	11	15	2	2020
284	"sampsonidis, ioannis"	-0.6122	-0.0722	7	11	11	1	2021
285	"santos, dércia"	-0.383	-0.0884	25	7	16	3	2020.6667
286	"sarasamma, sreeja"	0.2525	-0.4684	16	8	8	1	2020
287	"schaaf, marcel j. m."	0.7371	-0.1148	23	7	7	1	2019
288	"schaber, andy"	0.5931	0.1296	35	5	5	1	2020
289	"schlenk, daniel"	0.1928	1.1009	40	4	4	1	2020
290	"schmieg, hannah"	0.5458	0.4388	9	11	15	2	2020
291	"seiler, thomas-benjamin"	0.1441	-0.1439	11	5	5	1	2020
292	"selck, henriette"	-0.6358	0.2232	5	6	6	1	2017
293	"sepúlveda, maria s."	0.541	0.1559	35	5	5	1	2020
294	"serrato, sebastian"	-0.2715	-0.6874	17	8	8	1	2017
295	"shen, manlu"	-0.4661	-0.4745	3	6	6	1	2019
296	"sheng, cheng"	0.8559	0.6887	44	2	2	1	2021
297	"shi, huahong"	0.13	-0.1141	11	5	5	1	2020
298	"shi, wei"	-0.1283	0.2655	28	6	6	1	2021
299	"shi, xiaotao"	-0.9746	-0.2232	20	4	4	1	2018
300	"shields, jeremiah n."	0.3475	0.7001	12	9	9	1	2020
301	"shrivastava, jyotsna"	0.5445	-0.9124	29	6	6	1	2020
302	"silic, martin r."	0.5681	0.1046	35	5	5	1	2020
303	"silva, abner marcelino"	-0.2812	0.6586	2	6	6	1	2021
304	"silva, fabiano guimarães"	-0.212	0.6245	2	9	12	2	2021
305	"sinha, amit kumar"	0.4852	-0.9017	29	6	6	1	2020
